soil_type,season,water,temperature,humidity,label
loamy,monsoon,medium,23.13,96.57,banana
sandy,summer,low,32.37,36.41,millets
red,monsoon,low,26.54,66.67,millets
loamy,monsoon,medium,25.69,90.68,ginger
black,monsoon,medium,22.33,61.48,chili
red,summer,low,25.75,72.56,grapes
black,summer,low,31.02,39.47,pigeonpeas
black,summer,low,30.97,42.19,sorghum
loamy,winter,medium,10.75,33.3,wheat
black,summer,medium,28.57,40.41,chili
loamy,monsoon,medium,27.74,70.0,pigeonpeas
loamy,monsoon,high,23.39,88.7,jute
loamy,summer,medium,36.95,42.94,mango
loamy,monsoon,high,31.45,100.0,papaya
sandy,winter,low,11.95,28.68,onion
black,monsoon,medium,25.0,57.78,chili
sandy,monsoon,low,27.89,96.7,mungbean
sandy,summer,low,34.39,35.45,millets
loamy,winter,medium,10.67,10.82,kidneybeans
red,summer,low,32.98,48.41,mothbeans
loamy,monsoon,high,23.72,100.0,coconut
loamy,monsoon,low,23.97,74.41,blackgram
red,summer,low,30.96,66.5,mungbean
red,autumn,medium,22.36,80.08,tea
clay,autumn,low,23.0,65.28,lentil
loamy,winter,medium,16.33,77.8,orange
loamy,monsoon,high,27.92,75.59,sugarcane
sandy,monsoon,high,22.97,100.0,coconut
loamy,autumn,medium,20.7,60.0,maize
sandy,summer,high,27.64,72.82,watermelon
sandy,autumn,low,26.68,54.05,mothbeans
red,autumn,medium,20.87,17.31,kidneybeans
sandy,monsoon,low,29.59,99.86,mungbean
red,summer,medium,30.91,54.82,turmeric
red,summer,low,29.62,31.73,pigeonpeas
sandy,autumn,low,18.86,59.91,pomegranate
loamy,summer,high,27.72,67.01,ginger
loamy,winter,medium,16.65,82.41,orange
red,monsoon,high,24.53,98.0,banana
black,winter,medium,4.77,22.77,wheat
clay,monsoon,high,24.99,86.05,banana
sandy,summer,low,22.11,46.61,pomegranate
loamy,autumn,medium,25.4,53.11,tomato
sandy,summer,low,32.0,37.72,millets
loamy,summer,medium,35.01,43.79,mango
loamy,summer,medium,36.87,87.6,papaya
clay,monsoon,high,26.41,93.77,banana
red,summer,low,32.91,68.64,mungbean
red,monsoon,medium,27.48,91.61,ginger
black,monsoon,high,24.13,95.41,jute
red,autumn,low,26.16,50.43,sorghum
loamy,summer,medium,22.78,54.46,maize
loamy,summer,medium,24.91,66.38,grapes
red,monsoon,high,24.31,95.56,banana
loamy,monsoon,medium,31.63,63.58,mango
black,winter,low,7.72,21.25,barley
black,summer,high,34.04,53.66,sugarcane
sandy,monsoon,low,28.31,70.2,mothbeans
sandy,winter,low,10.91,9.92,chickpea
loamy,autumn,medium,15.16,36.14,wheat
sandy,autumn,low,24.32,81.99,grapes
loamy,monsoon,high,23.98,86.89,ginger
red,monsoon,low,26.64,61.66,pigeonpeas
loamy,monsoon,medium,25.64,67.71,pigeonpeas
red,monsoon,high,22.72,84.75,ginger
loamy,autumn,medium,20.08,94.98,apple
red,monsoon,medium,22.49,72.23,guava
clay,monsoon,high,25.56,93.58,jute
loamy,monsoon,high,23.92,89.95,ginger
black,summer,high,33.71,52.64,sugarcane
black,autumn,low,21.35,37.48,onion
black,winter,medium,4.49,24.44,wheat
clay,monsoon,high,24.33,97.03,jute
black,winter,medium,12.53,5.65,kidneybeans
black,monsoon,high,26.52,95.4,banana
sandy,summer,low,30.43,76.15,mungbean
loamy,autumn,low,23.06,54.35,pomegranate
black,winter,low,11.25,32.67,onion
black,summer,low,25.67,68.28,cotton
black,winter,low,16.35,46.21,lentil
sandy,winter,low,12.83,29.34,onion
loamy,winter,low,6.15,6.77,chickpea
black,summer,medium,29.97,37.46,chili
loamy,autumn,low,19.3,13.2,chickpea
loamy,autumn,high,22.85,77.4,tea
loamy,monsoon,low,27.57,74.27,blackgram
clay,monsoon,medium,25.12,92.16,ginger
red,autumn,medium,27.33,57.94,coffee
loamy,autumn,low,20.79,90.09,apple
loamy,monsoon,low,24.21,100.0,mungbean
loamy,winter,medium,19.15,77.96,apple
loamy,summer,low,35.93,45.09,mango
loamy,winter,medium,17.4,77.65,orange
black,winter,low,8.65,21.85,barley
sandy,autumn,low,29.7,55.56,mothbeans
sandy,winter,low,11.84,29.41,onion
clay,summer,high,25.44,64.95,rice
black,summer,low,29.86,38.4,pigeonpeas
loamy,monsoon,high,32.38,96.13,papaya
loamy,summer,low,29.46,79.37,muskmelon
clay,winter,low,2.72,22.35,wheat
clay,monsoon,high,24.14,97.67,rice
red,monsoon,medium,28.18,85.58,turmeric
loamy,autumn,low,19.09,11.73,chickpea
sandy,autumn,low,22.26,56.4,pomegranate
loamy,summer,high,27.53,78.56,watermelon
black,summer,low,28.76,78.04,cotton
sandy,summer,low,24.75,41.36,pomegranate
loamy,summer,medium,28.41,81.58,watermelon
sandy,summer,low,29.0,45.49,sorghum
black,summer,high,27.1,74.36,rice
loamy,summer,medium,27.14,33.88,tomato
loamy,winter,low,10.92,9.25,kidneybeans
sandy,summer,medium,34.61,80.3,papaya
loamy,monsoon,low,27.41,67.45,pigeonpeas
sandy,summer,medium,28.47,75.81,muskmelon
loamy,monsoon,high,22.11,83.63,ginger
clay,monsoon,high,21.03,99.39,rice
sandy,summer,high,28.16,72.68,watermelon
loamy,autumn,low,21.51,66.72,lentil
loamy,autumn,medium,17.14,36.37,wheat
sandy,autumn,medium,22.94,91.8,orange
black,winter,low,10.44,26.92,wheat
loamy,monsoon,high,28.57,73.35,sugarcane
clay,winter,low,15.06,56.05,lentil
sandy,autumn,medium,20.43,89.51,orange
loamy,summer,medium,29.1,73.61,watermelon
loamy,monsoon,medium,25.38,65.85,pigeonpeas
black,summer,low,31.9,38.23,sorghum
clay,monsoon,medium,24.5,91.61,ginger
loamy,summer,medium,26.96,43.48,coffee
loamy,monsoon,low,25.28,77.98,blackgram
red,summer,medium,30.81,58.39,turmeric
loamy,monsoon,high,21.33,93.42,jute
loamy,monsoon,medium,25.02,69.21,guava
red,monsoon,low,27.57,62.85,millets
sandy,summer,low,25.31,74.43,grapes
clay,monsoon,medium,24.57,96.85,jute
red,winter,medium,10.67,38.74,potato
black,winter,low,8.94,10.42,chickpea
sandy,autumn,medium,30.56,86.87,muskmelon
red,winter,medium,16.02,40.71,tomato
red,winter,medium,17.98,84.77,apple
sandy,monsoon,low,26.35,67.06,mothbeans
black,winter,low,10.5,27.89,wheat
clay,monsoon,medium,23.18,98.47,jute
loamy,summer,medium,33.48,66.85,turmeric
loamy,winter,medium,10.19,13.69,kidneybeans
loamy,summer,medium,28.18,72.21,grapes
black,summer,low,29.73,38.07,sorghum
sandy,autumn,medium,26.05,49.05,tomato
loamy,autumn,high,25.73,80.97,tea
sandy,summer,medium,25.4,55.77,maize
sandy,summer,medium,26.18,55.03,maize
loamy,winter,medium,18.08,30.5,tomato
loamy,monsoon,low,28.82,70.7,blackgram
red,summer,medium,36.55,40.9,mango
black,summer,low,31.51,38.31,millets
loamy,winter,medium,10.83,27.7,wheat
red,winter,medium,15.49,86.26,apple
red,winter,medium,14.45,86.65,apple
loamy,monsoon,low,26.27,79.78,blackgram
loamy,monsoon,high,25.4,93.65,coconut
loamy,summer,medium,30.75,41.91,chili
red,summer,medium,33.61,78.1,papaya
loamy,autumn,high,23.31,74.85,tea
loamy,monsoon,high,27.55,88.12,ginger
loamy,summer,medium,34.17,87.07,papaya
clay,monsoon,medium,22.78,96.65,rice
red,summer,low,30.66,37.49,pigeonpeas
clay,winter,medium,10.14,6.63,kidneybeans
black,monsoon,medium,22.39,95.67,cotton
loamy,monsoon,medium,24.73,97.82,tea
loamy,autumn,medium,18.59,49.93,potato
sandy,summer,medium,36.0,81.61,papaya
sandy,monsoon,medium,20.04,81.35,maize
loamy,summer,high,29.43,64.22,ginger
loamy,winter,medium,10.11,28.26,wheat
red,summer,low,26.62,69.75,grapes
black,summer,low,34.46,36.03,millets
red,monsoon,high,26.0,99.82,coconut
loamy,autumn,medium,12.32,38.33,wheat
loamy,winter,low,11.87,47.09,potato
sandy,monsoon,low,26.3,61.25,millets
loamy,summer,high,28.31,76.18,watermelon
loamy,winter,medium,12.28,9.81,kidneybeans
sandy,monsoon,medium,20.55,82.89,maize
clay,winter,medium,9.11,18.71,wheat
red,summer,low,29.91,43.35,mothbeans
loamy,winter,low,7.96,11.12,chickpea
sandy,summer,low,32.81,35.71,millets
loamy,winter,low,13.91,16.27,kidneybeans
sandy,summer,medium,23.6,53.95,maize
loamy,monsoon,medium,26.64,70.09,guava
sandy,autumn,medium,16.3,53.28,potato
black,summer,medium,25.13,73.12,cotton
black,monsoon,high,23.78,98.32,rice
sandy,summer,medium,36.16,80.53,papaya
black,autumn,low,16.31,20.24,chickpea
loamy,summer,medium,31.89,37.34,chili
red,summer,low,34.19,37.33,mango
loamy,winter,low,14.09,77.7,apple
black,winter,medium,7.31,19.47,wheat
red,autumn,low,26.52,48.86,sorghum
sandy,winter,low,12.77,32.21,onion
black,autumn,low,28.9,47.76,sorghum
sandy,monsoon,low,27.01,68.73,mothbeans
clay,summer,high,26.79,72.49,rice
loamy,winter,medium,8.56,28.48,wheat
loamy,winter,medium,15.39,8.59,kidneybeans
sandy,autumn,low,27.4,51.97,mothbeans
loamy,autumn,medium,17.37,24.13,kidneybeans
loamy,monsoon,low,24.56,64.1,pigeonpeas
clay,winter,medium,10.49,26.56,wheat
loamy,winter,medium,17.41,54.37,lentil
sandy,autumn,low,17.61,33.05,barley
black,summer,high,33.44,49.05,sugarcane
loamy,summer,medium,30.3,40.11,chili
loamy,monsoon,high,27.75,71.79,sugarcane
sandy,summer,medium,24.77,52.13,maize
clay,monsoon,medium,22.61,98.32,rice
black,monsoon,high,23.68,79.85,sugarcane
black,autumn,low,18.98,17.08,chickpea
loamy,monsoon,high,22.72,95.73,coconut
sandy,autumn,low,29.2,52.21,mothbeans
loamy,autumn,low,24.7,79.2,grapes
sandy,summer,low,30.53,32.87,millets
loamy,autumn,low,19.22,32.53,barley
red,monsoon,high,26.01,95.87,coconut
clay,monsoon,medium,23.45,90.27,ginger
black,summer,high,29.1,77.72,rice
loamy,summer,medium,29.0,75.32,watermelon
loamy,winter,medium,12.36,37.08,onion
sandy,autumn,medium,18.99,48.21,potato
clay,winter,low,4.55,21.95,wheat
black,monsoon,high,25.66,78.27,sugarcane
black,summer,high,28.82,75.48,rice
red,autumn,low,23.09,57.35,pomegranate
clay,winter,medium,9.09,24.9,wheat
loamy,winter,low,12.58,82.9,apple
loamy,summer,medium,24.6,63.54,grapes
red,summer,medium,35.3,39.8,mango
black,winter,medium,11.96,8.85,kidneybeans
loamy,summer,low,23.12,52.22,pomegranate
loamy,summer,high,26.54,63.65,ginger
black,winter,medium,4.31,25.24,wheat
red,monsoon,medium,24.24,69.51,coffee
loamy,monsoon,high,22.56,90.08,ginger
red,summer,medium,29.37,69.58,cotton
black,winter,medium,9.93,5.1,kidneybeans
sandy,autumn,medium,23.59,50.09,tomato
black,summer,high,33.32,47.03,sugarcane
loamy,summer,low,34.73,44.58,mango
loamy,summer,medium,25.11,69.07,grapes
red,monsoon,medium,24.53,100.0,tea
loamy,autumn,low,19.76,31.38,barley
loamy,winter,medium,9.67,29.94,wheat
black,winter,low,12.34,26.22,onion
sandy,autumn,low,23.12,75.26,grapes
loamy,monsoon,high,22.94,90.7,jute
red,winter,medium,18.58,89.89,apple
loamy,monsoon,medium,24.76,65.36,coffee
loamy,summer,high,29.77,72.58,ginger
loamy,summer,medium,35.42,41.26,mango
loamy,monsoon,high,23.75,92.4,banana
loamy,monsoon,high,21.51,89.76,jute
clay,monsoon,high,24.9,88.35,banana
loamy,monsoon,high,23.45,91.89,jute
loamy,summer,medium,26.71,78.78,orange
red,winter,medium,14.84,39.47,tomato
loamy,monsoon,medium,26.61,83.19,turmeric
loamy,winter,medium,9.69,33.36,wheat
red,summer,low,35.39,32.91,mango
red,summer,low,24.48,43.6,pomegranate
clay,winter,low,2.37,26.89,wheat
clay,monsoon,medium,22.46,99.07,rice
loamy,monsoon,high,30.8,97.55,papaya
red,autumn,medium,23.58,89.68,orange
sandy,monsoon,low,28.18,100.0,mungbean
loamy,autumn,medium,24.23,48.95,tomato
sandy,autumn,medium,26.43,81.91,muskmelon
loamy,monsoon,low,26.68,76.97,blackgram
loamy,summer,low,30.49,37.37,millets
clay,winter,medium,10.62,6.32,kidneybeans
sandy,summer,high,28.23,74.19,watermelon
clay,monsoon,high,25.44,94.02,jute
loamy,monsoon,high,22.74,91.71,jute
clay,winter,low,4.34,18.27,wheat
red,summer,medium,34.86,36.91,mango
loamy,autumn,low,20.4,92.5,apple
loamy,monsoon,medium,26.82,69.81,pigeonpeas
loamy,monsoon,high,28.22,86.4,turmeric
loamy,summer,low,32.59,44.11,sorghum
black,summer,low,26.26,69.21,cotton
loamy,winter,low,10.76,41.66,potato
loamy,summer,medium,29.83,38.91,guava
black,summer,medium,28.03,44.53,chili
loamy,monsoon,high,23.19,89.73,banana
red,summer,medium,33.9,40.12,mango
loamy,monsoon,medium,23.72,93.59,tea
clay,monsoon,high,24.5,73.98,sugarcane
loamy,autumn,low,23.41,63.64,pomegranate
loamy,summer,low,34.08,46.44,sorghum
loamy,summer,low,30.46,43.7,sorghum
loamy,summer,high,31.6,55.09,sugarcane
loamy,autumn,medium,23.1,57.89,guava
black,monsoon,high,24.32,98.33,rice
loamy,winter,low,11.5,45.07,potato
sandy,monsoon,high,24.34,96.0,coconut
clay,monsoon,medium,21.9,100.0,rice
red,summer,medium,29.79,73.7,cotton
clay,monsoon,medium,20.93,97.6,rice
black,summer,high,30.89,68.65,rice
clay,summer,high,26.65,73.41,rice
loamy,monsoon,low,24.58,99.48,mungbean
clay,winter,low,6.38,22.4,wheat
loamy,autumn,medium,26.45,55.31,coffee
loamy,summer,medium,30.96,39.5,guava
red,summer,low,32.21,72.13,mungbean
red,monsoon,high,26.58,95.89,banana
loamy,summer,low,31.57,78.26,mungbean
clay,monsoon,high,25.57,76.07,sugarcane
sandy,autumn,medium,28.14,88.7,muskmelon
sandy,autumn,medium,27.53,84.44,muskmelon
black,summer,high,35.13,46.91,sugarcane
sandy,summer,high,28.63,84.87,coconut
loamy,summer,high,26.98,64.82,ginger
sandy,winter,low,12.51,33.5,onion
red,monsoon,high,25.7,98.28,coconut
clay,winter,low,6.29,21.56,wheat
black,monsoon,high,23.42,78.0,sugarcane
loamy,monsoon,medium,25.8,79.0,sugarcane
black,winter,low,7.63,18.72,barley
sandy,summer,high,31.94,82.39,coconut
black,summer,low,31.8,34.79,millets
red,winter,low,10.1,14.0,chickpea
loamy,summer,low,34.21,33.03,millets
black,winter,low,9.64,30.75,wheat
red,summer,low,29.19,31.18,pigeonpeas
loamy,summer,high,27.01,66.3,jute
clay,summer,high,28.33,68.55,jute
clay,winter,medium,11.03,8.1,kidneybeans
sandy,monsoon,medium,24.82,96.33,coconut
red,summer,medium,35.65,39.01,mango
loamy,summer,medium,24.71,30.16,tomato
red,autumn,medium,19.88,23.36,kidneybeans
loamy,winter,low,13.54,36.66,onion
loamy,summer,high,30.41,67.39,rice
clay,monsoon,high,24.34,92.86,jute
red,winter,low,12.34,9.53,chickpea
loamy,winter,medium,15.98,34.19,tomato
loamy,winter,medium,17.0,53.02,lentil
sandy,monsoon,medium,21.13,84.81,maize
red,summer,medium,34.2,39.35,mango
sandy,autumn,low,20.42,53.42,pomegranate
clay,winter,medium,11.09,22.69,wheat
loamy,winter,low,12.21,16.4,kidneybeans
clay,monsoon,medium,20.6,100.0,rice
loamy,autumn,medium,19.76,23.7,kidneybeans
loamy,monsoon,high,28.07,84.57,turmeric
red,summer,low,33.28,74.65,mungbean
black,monsoon,low,27.86,83.29,blackgram
red,monsoon,medium,25.0,93.34,ginger
sandy,monsoon,medium,23.16,73.22,guava
clay,monsoon,medium,22.37,100.0,rice
black,monsoon,medium,23.86,59.38,chili
loamy,monsoon,medium,24.33,72.08,chili
red,monsoon,medium,26.52,92.76,ginger
loamy,summer,medium,34.11,44.92,mango
loamy,summer,high,33.87,59.72,sugarcane
loamy,summer,medium,34.55,39.97,mango
loamy,summer,low,22.95,52.0,pomegranate
loamy,summer,medium,33.98,61.47,turmeric
loamy,winter,medium,12.68,9.99,kidneybeans
loamy,summer,high,28.6,79.1,watermelon
loamy,winter,low,14.43,32.14,onion
sandy,winter,low,12.37,30.33,onion
loamy,summer,high,33.07,72.84,banana
loamy,summer,high,33.33,73.96,banana
red,winter,medium,17.12,86.21,apple
loamy,summer,low,33.21,34.17,millets
loamy,monsoon,high,28.11,72.76,sugarcane
loamy,summer,low,31.69,39.08,sorghum
loamy,winter,medium,16.73,53.93,lentil
loamy,summer,medium,29.14,40.83,chili
loamy,summer,low,33.73,43.15,mango
loamy,monsoon,high,19.13,100.0,rice
red,summer,low,29.9,34.36,millets
red,summer,medium,28.42,44.15,coffee
sandy,autumn,medium,22.53,89.37,orange
loamy,winter,low,14.03,76.16,apple
red,autumn,low,26.64,47.87,sorghum
loamy,monsoon,medium,26.81,65.39,pigeonpeas
loamy,winter,low,9.06,9.21,chickpea
red,autumn,low,27.38,53.28,mothbeans
black,monsoon,medium,21.62,97.02,cotton
black,summer,low,32.36,35.0,millets
black,winter,medium,6.66,27.42,wheat
sandy,monsoon,medium,24.97,97.75,coconut
sandy,monsoon,low,24.99,58.33,millets
loamy,winter,low,12.16,75.64,apple
black,monsoon,low,30.12,86.83,blackgram
red,summer,medium,34.63,40.51,mango
sandy,autumn,medium,23.93,89.22,orange
black,summer,low,32.8,39.04,millets
sandy,autumn,medium,22.91,48.8,tomato
sandy,monsoon,medium,21.63,76.89,maize
sandy,summer,low,30.48,44.55,sorghum
loamy,winter,medium,14.58,7.61,kidneybeans
loamy,summer,medium,26.83,63.53,cotton
sandy,monsoon,low,25.68,63.55,millets
loamy,monsoon,medium,25.72,70.62,guava
sandy,summer,medium,30.78,39.23,chili
black,summer,low,27.47,73.59,cotton
black,summer,low,28.64,37.05,pigeonpeas
loamy,summer,low,30.41,78.83,muskmelon
clay,monsoon,high,25.13,77.8,sugarcane
loamy,winter,medium,12.64,35.55,onion
sandy,autumn,medium,21.0,90.07,orange
loamy,winter,medium,8.82,29.64,wheat
loamy,summer,low,30.99,38.15,mothbeans
red,monsoon,medium,26.19,88.66,ginger
red,monsoon,high,25.21,100.0,coconut
black,summer,low,25.42,71.29,cotton
sandy,summer,high,27.75,70.19,watermelon
loamy,monsoon,medium,32.25,67.5,mango
sandy,summer,high,30.36,68.78,watermelon
red,summer,medium,29.71,73.94,muskmelon
sandy,monsoon,low,27.5,70.68,mothbeans
loamy,monsoon,high,22.39,90.67,jute
loamy,summer,high,28.68,64.19,ginger
loamy,monsoon,high,26.18,81.87,turmeric
loamy,summer,medium,25.48,77.34,orange
loamy,autumn,low,19.76,11.66,chickpea
loamy,monsoon,medium,23.25,98.64,cotton
loamy,monsoon,medium,28.69,81.93,sugarcane
loamy,summer,medium,24.63,73.54,orange
loamy,summer,medium,28.19,66.34,cotton
black,summer,low,31.75,59.0,blackgram
clay,monsoon,medium,24.49,98.02,jute
black,monsoon,low,28.15,86.51,blackgram
loamy,monsoon,low,27.69,64.94,pigeonpeas
black,monsoon,low,29.11,81.1,blackgram
clay,winter,medium,9.7,23.15,wheat
sandy,monsoon,low,26.34,69.93,mothbeans
loamy,summer,low,33.12,39.25,millets
sandy,summer,medium,36.85,80.04,papaya
loamy,summer,medium,26.83,63.5,cotton
sandy,monsoon,low,29.37,100.0,mungbean
clay,winter,medium,11.13,5.66,kidneybeans
loamy,summer,medium,30.97,70.7,muskmelon
loamy,monsoon,medium,23.91,67.88,chili
loamy,summer,medium,35.84,39.49,mango
red,monsoon,low,26.61,59.23,millets
loamy,autumn,low,15.81,29.08,barley
loamy,autumn,medium,23.04,65.56,maize
loamy,monsoon,low,27.51,65.57,pigeonpeas
red,monsoon,high,24.58,97.37,coconut
sandy,winter,medium,9.19,46.42,potato
black,summer,medium,26.04,73.23,cotton
loamy,summer,low,31.68,79.25,muskmelon
sandy,summer,low,27.86,43.54,sorghum
black,summer,low,30.31,38.29,sorghum
black,winter,low,7.44,17.21,barley
loamy,summer,low,37.07,42.42,mango
clay,winter,medium,11.42,14.51,kidneybeans
clay,autumn,low,23.53,61.71,lentil
loamy,monsoon,medium,26.7,68.06,pigeonpeas
loamy,monsoon,high,25.67,95.17,banana
sandy,autumn,low,21.37,82.91,grapes
sandy,summer,medium,25.52,48.15,maize
sandy,monsoon,medium,31.97,100.0,papaya
loamy,summer,medium,35.94,91.0,papaya
clay,winter,medium,11.88,12.71,kidneybeans
loamy,summer,medium,25.2,77.88,orange
red,summer,low,27.98,34.35,millets
loamy,summer,high,28.79,63.8,jute
loamy,monsoon,medium,17.73,77.57,maize
red,winter,medium,15.49,85.11,apple
red,monsoon,medium,24.84,94.2,ginger
black,winter,low,8.97,30.11,wheat
black,monsoon,high,22.4,95.92,jute
loamy,autumn,medium,21.12,70.1,maize
loamy,winter,medium,18.76,83.05,orange
sandy,monsoon,medium,18.35,77.78,maize
loamy,winter,medium,16.62,51.08,lentil
black,winter,medium,4.16,19.93,wheat
loamy,summer,high,27.91,81.93,coconut
black,summer,medium,24.3,56.98,maize
loamy,summer,medium,28.27,32.88,tomato
black,winter,low,9.43,13.07,barley
loamy,monsoon,medium,28.68,79.93,turmeric
loamy,monsoon,high,24.95,92.46,banana
sandy,autumn,low,30.93,51.57,mothbeans
sandy,winter,medium,10.5,40.44,potato
red,summer,low,26.47,46.43,pomegranate
red,autumn,low,21.33,57.93,pomegranate
black,monsoon,high,25.48,93.6,banana
loamy,monsoon,high,26.56,77.18,sugarcane
red,winter,medium,11.08,39.31,potato
loamy,winter,medium,10.88,31.36,onion
loamy,autumn,medium,23.05,63.25,maize
sandy,summer,medium,25.32,58.49,maize
black,autumn,low,25.53,49.99,sorghum
black,monsoon,medium,21.04,91.78,cotton
red,monsoon,high,21.03,98.53,tea
loamy,monsoon,high,24.64,90.39,banana
sandy,autumn,low,20.62,60.24,pomegranate
black,summer,low,25.77,70.25,cotton
black,summer,high,29.87,72.08,rice
loamy,winter,low,8.84,42.65,potato
loamy,winter,medium,18.65,35.46,tomato
loamy,summer,medium,23.98,65.65,grapes
loamy,winter,low,9.48,42.37,potato
red,autumn,low,28.25,56.18,mothbeans
sandy,autumn,low,17.54,32.72,barley
red,autumn,low,19.36,56.5,pomegranate
black,monsoon,high,23.97,96.57,rice
loamy,monsoon,medium,30.2,95.64,papaya
black,winter,low,8.67,21.34,barley
clay,autumn,low,22.89,61.71,lentil
sandy,autumn,low,20.44,56.91,pomegranate
loamy,summer,medium,29.06,39.14,chili
clay,monsoon,medium,23.24,96.71,rice
black,monsoon,high,24.52,94.49,rice
loamy,summer,high,26.07,82.3,coconut
red,autumn,low,20.45,55.85,pomegranate
loamy,winter,low,11.24,19.74,barley
sandy,summer,low,30.23,40.41,sorghum
loamy,winter,medium,16.58,50.64,lentil
clay,monsoon,low,26.62,86.84,blackgram
sandy,autumn,medium,22.47,49.24,tomato
clay,winter,low,2.65,23.03,wheat
loamy,monsoon,medium,22.12,66.81,chili
loamy,monsoon,high,23.19,90.49,banana
sandy,summer,medium,30.67,75.37,muskmelon
sandy,summer,high,30.12,69.36,watermelon
sandy,autumn,medium,26.23,51.2,tomato
loamy,monsoon,medium,23.11,100.0,cotton
red,monsoon,high,25.4,100.0,coconut
black,monsoon,medium,23.71,58.34,chili
loamy,winter,low,11.75,42.7,potato
loamy,winter,low,13.62,24.83,barley
sandy,monsoon,medium,21.34,97.83,watermelon
loamy,summer,high,28.7,80.42,coconut
clay,monsoon,high,23.42,95.91,jute
loamy,summer,high,27.2,75.63,coconut
loamy,summer,high,28.28,77.1,watermelon
loamy,summer,low,30.15,71.85,mungbean
loamy,monsoon,high,27.61,75.17,sugarcane
red,summer,low,25.41,67.6,grapes
black,summer,high,33.78,51.14,sugarcane
black,summer,high,28.32,75.35,rice
sandy,autumn,medium,28.52,83.91,muskmelon
black,summer,medium,24.25,49.92,maize
red,summer,low,31.48,31.69,pigeonpeas
sandy,summer,low,29.73,45.28,sorghum
loamy,monsoon,high,27.59,81.82,turmeric
sandy,monsoon,medium,33.14,95.65,papaya
loamy,autumn,medium,27.26,60.26,coffee
loamy,autumn,medium,23.94,55.62,coffee
sandy,summer,low,23.91,43.3,pomegranate
loamy,autumn,medium,25.72,51.62,coffee
red,autumn,low,26.5,50.44,mothbeans
loamy,autumn,medium,26.05,54.27,coffee
loamy,winter,low,12.1,15.05,kidneybeans
sandy,summer,low,30.32,41.63,sorghum
red,summer,medium,27.1,36.79,chili
red,autumn,medium,23.94,60.27,coffee
loamy,winter,medium,10.83,29.43,wheat
loamy,autumn,medium,22.96,96.25,apple
loamy,summer,high,29.68,70.09,ginger
red,summer,medium,34.55,78.89,papaya
clay,monsoon,high,24.38,88.95,banana
red,monsoon,medium,23.39,88.34,ginger
loamy,monsoon,high,23.29,91.18,jute
loamy,summer,high,31.7,53.39,sugarcane
loamy,winter,medium,16.48,76.41,orange
loamy,summer,high,28.13,73.13,watermelon
black,summer,high,31.42,51.96,sugarcane
clay,monsoon,medium,23.38,98.58,rice
red,summer,medium,37.43,80.72,papaya
loamy,autumn,medium,23.6,50.73,tomato
black,winter,medium,4.87,24.67,wheat
black,autumn,low,28.16,46.12,sorghum
loamy,summer,low,29.22,40.14,mothbeans
loamy,monsoon,medium,25.83,96.73,banana
loamy,summer,medium,26.39,64.02,cotton
loamy,summer,low,30.79,42.55,millets
loamy,monsoon,high,23.22,92.24,jute
loamy,monsoon,medium,23.69,99.65,banana
loamy,autumn,medium,22.2,65.43,maize
loamy,autumn,medium,27.65,57.27,coffee
sandy,monsoon,medium,21.98,83.1,maize
sandy,summer,medium,33.66,79.35,papaya
loamy,winter,medium,16.77,73.87,apple
sandy,monsoon,low,23.4,65.96,millets
red,monsoon,low,26.43,60.6,millets
black,summer,high,27.72,75.72,rice
sandy,monsoon,low,28.03,68.77,mothbeans
red,monsoon,medium,26.2,70.82,coffee
red,summer,low,29.05,70.07,grapes
red,summer,medium,32.57,59.72,turmeric
red,summer,low,30.37,32.06,pigeonpeas
loamy,summer,high,26.41,80.8,coconut
black,winter,low,17.29,49.7,lentil
clay,monsoon,high,26.33,98.58,jute
loamy,autumn,medium,21.81,93.38,orange
black,monsoon,medium,25.23,59.36,chili
loamy,autumn,medium,20.52,98.08,apple
sandy,autumn,low,22.4,79.89,grapes
red,summer,medium,36.81,78.74,papaya
loamy,summer,high,31.21,73.37,banana
loamy,monsoon,medium,24.45,67.83,coffee
red,summer,medium,30.87,71.44,cotton
loamy,summer,high,33.35,72.03,banana
clay,winter,low,2.98,18.14,wheat
sandy,summer,high,31.15,83.56,coconut
clay,monsoon,high,29.3,75.88,sugarcane
loamy,monsoon,high,25.74,72.78,sugarcane
loamy,summer,medium,35.89,40.37,mango
sandy,winter,low,9.15,29.65,barley
red,winter,medium,14.58,43.2,tomato
loamy,summer,high,29.25,67.1,ginger
loamy,winter,medium,15.85,81.57,orange
loamy,winter,low,10.82,23.74,barley
sandy,monsoon,low,28.22,66.3,mothbeans
sandy,summer,low,30.58,39.71,sorghum
sandy,summer,low,31.12,39.62,mothbeans
red,summer,medium,26.36,52.7,maize
red,summer,low,31.61,41.94,sorghum
loamy,summer,low,31.13,34.89,mothbeans
sandy,summer,medium,30.05,40.97,chili
red,monsoon,medium,26.42,69.43,coffee
loamy,monsoon,medium,20.91,75.23,maize
loamy,monsoon,medium,24.27,99.0,tea
loamy,winter,medium,18.23,37.29,tomato
black,winter,low,11.89,34.24,onion
red,summer,low,26.13,43.63,pomegranate
loamy,autumn,low,17.92,29.63,barley
loamy,summer,low,31.71,39.35,millets
red,monsoon,medium,22.28,100.0,tea
loamy,summer,low,32.55,33.15,millets
loamy,monsoon,medium,25.81,68.05,guava
